modelo,prompt_id,id,producto,categoria,reseña,sentimiento,largo_palabras,archivo_origen,n_solicitado,prompt_corto
llama3.2:1b,prompt_2_belleza,3.0,Cuidados capillarios,Capilar cuidado,Este producto me ayuda a mantener mi capilaria saludable y brillante. Me gusta mucho.,POSITIVO,14,results2/llama3.2_1b_prompt_2_belleza_10gen.txt,10,Belleza
llama3.2:1b,prompt_2_belleza,4.0,Cortadores de cabello,Capilar manual,Este cortador es precioso y fácil de usar. Me ayuda a mantener mi capilaria lisa y limpio.,NEGATIVO,17,results2/llama3.2_1b_prompt_2_belleza_10gen.txt,10,Belleza
llama3.2:1b,prompt_2_belleza,5.0,Toner facial,Belleza facial,Este toner es muy efectivo. Me ayuda a neutralizar los manchas y darle una textura suave al rostro.,POSITIVO,18,results2/llama3.2_1b_prompt_2_belleza_10gen.txt,10,Belleza
llama3.2:1b,prompt_2_belleza,6.0,Crema para el acné,Belleza facial,Este producto es muy útil. Me ayuda a controlar el acné y darle una apariencia más suave.,NEGATIVO,17,results2/llama3.2_1b_prompt_2_belleza_10gen.txt,10,Belleza
llama3.2:1b,prompt_2_belleza,7.0,Hairspray,Capilar limpio y saludable,Este spray me ayuda a mantener mi capilaria en su lugar. Me gusta muy.,POSITIVO,14,results2/llama3.2_1b_prompt_2_belleza_10gen.txt,10,Belleza
llama3.2:1b,prompt_2_belleza,8.0,Cuidados para el cabello natural,Capilar cuidado,Este producto me ayuda a mantener mi cabello natural y saludable. Me gusta mucho.,POSITIVO,14,results2/llama3.2_1b_prompt_2_belleza_10gen.txt,10,Belleza
llama3.2:1b,prompt_2_belleza,9.0,Cortadora de cabellos eléctricos,Capilar manual,Este cortador es muy fácil de usar. Me ayuda a mantener mi capilaria lisa y limpio.,NEGATIVO,16,results2/llama3.2_1b_prompt_2_belleza_10gen.txt,10,Belleza
llama3.2:1b,prompt_2_belleza,10.0,Mascaras para el cabello,Capilar cuidado,Esto es muy útil. Me ayuda a proteger mi cabello del daño causado por la luz solar.,POSITIVO,17,results2/llama3.2_1b_prompt_2_belleza_10gen.txt,10,Belleza
phi3:mini,prompt_1_electronicos,1.0,Laptop Razer Blade 15,Tecnología de la Información y Comunicación,"La portabilidad y el rendimiento del laptop razer son impresionantes. El diseño es moderno, aunque un poco pesado.",POSITIVO,18,results2/phi3_mini_prompt_1_electronicos_10gen.txt,10,Electrónicos
phi3:mini,prompt_1_electronicos,2.0,Pantallas Smart TV de Samsung,Tecnología de la Información y Comunicación,"La calidad del sonido es excepcional, aunque el menú es complicado para principiantes.",NEUTRO,13,results2/phi3_mini_prompt_1_electronicos_10gen.txt,10,Electrónicos
phi3:mini,prompt_1_electronicos,3.0,Cargador USB-C de Anker 65W,Tecnología Personal y Mobiliario Digital,Rápido y con un diseño práctico para todos los espacios.,POSITIVO,10,results2/phi3_mini_prompt_1_electronicos_10gen.txt,10,Electrónicos
phi3:mini,prompt_1_electronicos,4.0,Control remoto universal Wii Mini,Tecnología Personal y Mobiliario Digital,"Difícil de utilizar con la mayoría de dispositivos, carece de funcionalidades avanzadas.",NEGATIVO,12,results2/phi3_mini_prompt_1_electronicos_10gen.txt,10,Electrónicos
phi3:mini,prompt_1_electronicos,5.0,Micrófono USB Bose SoundLink Revolve Mini Bluetooth,Tecnología Personal y Mobiliario Digital,"La calidad de sonido es impresionante, pero a veces el micrófono no capta bien.",NEUTRO,14,results2/phi3_mini_prompt_1_electronicos_10gen.txt,10,Electrónicos
phi3:mini,prompt_1_electronicos,6.0,Mando Xbox Wireless 2.0 Bluetooth Gamepad,Tecnología Personal y Mobiliario Digital,"Confiable y preciso en juegos, aunque un poco pequeño para manos grandes.",NEUTRO,12,results2/phi3_mini_prompt_1_electronicos_10gen.txt,10,Electrónicos
phi3:mini,prompt_1_electronicos,7.0,Cámara GoPro Hero 10 Black,Tecnología de la Información y Comunicación,"Sorprendente rendimiento en condiciones extremas, aunque el tamaño es un poco grande.",POSITIVO,12,results2/phi3_mini_prompt_1_electronicos_10gen.txt,10,Electrónicos
phi3:mini,prompt_1_electronicos,8.0,Carátula de teléfono celular Bose SoundLink Revolve 2.5,Tecnología Personal y Mobiliario Digital,"Mejora el diseño del modelo anterior, pero las opciones de personalización son limitadas.",NEUTRO,13,results2/phi3_mini_prompt_1_electronicos_10gen.txt,10,Electrónicos
phi3:mini,prompt_1_electronicos,9.0,Control remoto universales Logitech C525i Wireless 2.4GHz Bluetooth Remote Control with USB Receiver ,Tecnología Personal y Mobiliario Digital,"La compatibilidad es excepcional, pero la duración de la batería podría mejorarse.",NEUTRO,12,results2/phi3_mini_prompt_1_electronicos_10gen.txt,10,Electrónicos
phi3:mini,prompt_1_electronicos,,,Tecnología Personal y Mobiliario Digital,"Confortable en manos, pero carece de una función útil adicional.",NEUTRO,10,results2/phi3_mini_prompt_1_electronicos_10gen.txt,10,Electrónicos
mistral:latest,prompt_1_electronicos,1.0,Apple MacBook Air,ordenador portátil,Excelente rendimiento y diseño elegante.,POSITIVO,5,results2/mistral_latest_prompt_1_electronicos_10gen.txt,10,Electrónicos
mistral:latest,prompt_1_electronicos,2.0,Logitech MX Keys,teclado,Teclado de alta calidad con comandos rápidos integrados.,POSITIVO,8,results2/mistral_latest_prompt_1_electronicos_10gen.txt,10,Electrónicos
mistral:latest,prompt_1_electronicos,3.0,Samsung Galaxy Tab S7,tableta,Tabla táctil con excelente calidad de imagen.,POSITIVO,7,results2/mistral_latest_prompt_1_electronicos_10gen.txt,10,Electrónicos
mistral:latest,prompt_1_electronicos,4.0,JBL Flip 5,altavoz portátil,Altavoz potente con buena calidad de sonido.,POSITIVO,7,results2/mistral_latest_prompt_1_electronicos_10gen.txt,10,Electrónicos
mistral:latest,prompt_1_electronicos,5.0,Anker PowerCore II 20000,batería externa,Batería potente y rápida para cargar dispositivos móviles.,POSITIVO,8,results2/mistral_latest_prompt_1_electronicos_10gen.txt,10,Electrónicos
mistral:latest,prompt_1_electronicos,6.0,Microsoft Surface Pro 7,ordenador táctil,Ordenador potente y versátil para uso en el trabajo.,POSITIVO,9,results2/mistral_latest_prompt_1_electronicos_10gen.txt,10,Electrónicos
mistral:latest,prompt_1_electronicos,7.0,Apple Magic Trackpad,trackpad,Trackpad de alta precisión y comodidad para el uso en ordenadores Mac.,POSITIVO,12,results2/mistral_latest_prompt_1_electronicos_10gen.txt,10,Electrónicos
mistral:latest,prompt_1_electronicos,8.0,Gelaskin Protectoras,protectores de pantalla,Protectoras de alta calidad para proteger pantallas de tabletas y ordenadores portátiles.,POSITIVO,12,results2/mistral_latest_prompt_1_electronicos_10gen.txt,10,Electrónicos
mistral:latest,prompt_1_electronicos,9.0,HyperX Cloud Alpha,auriculares,Auriculares confortables con buena calidad de audio.,POSITIVO,7,results2/mistral_latest_prompt_1_electronicos_10gen.txt,10,Electrónicos
mistral:latest,prompt_1_electronicos,10.0,Lenovo ThinkPad X1 Carbon,ordenador portátil empresarial,Ordenador de alta calidad y durabilidad ideal para uso empresarial.,POSITIVO,10,results2/mistral_latest_prompt_1_electronicos_10gen.txt,10,Electrónicos
mistral:latest,prompt_2_belleza,1.0,Crema facial La Roche-Posay Toleriane,Belleza - Cuidado Facial,Excelente crema facial para la piel sensible. Evita irritación y mantiene húmeda.,POSITIVO,12,results2/mistral_latest_prompt_2_belleza_10gen.txt,10,Belleza
mistral:latest,prompt_2_belleza,2.0,Shampoo Pantene Pro-V Reparativo,Cuidado Capilar,Mejora la textura y rizos de pelo seco y a veces liso. Recomendado.,POSITIVO,13,results2/mistral_latest_prompt_2_belleza_10gen.txt,10,Belleza
mistral:latest,prompt_2_belleza,3.0,Crema facial Bioré Deep Cleansing,Belleza - Cuidado Facial,Mejora la limpieza de piel oleosa pero puede secar un poco.,NEUTRO,11,results2/mistral_latest_prompt_2_belleza_10gen.txt,10,Belleza
mistral:latest,prompt_2_belleza,4.0,Mascara Maybelline Lash Sensational,Belleza - Maquillaje,Dentro de las mejores mascaras en el mercado. Mejora la densidad y la longitud del pelo.,POSITIVO,16,results2/mistral_latest_prompt_2_belleza_10gen.txt,10,Belleza
mistral:latest,prompt_2_belleza,5.0,Bálsamo Dentifrice Colgate Sensitive,Cuidado Oral,Sensible para mucosas sensibles y mejora la salud del diente.,POSITIVO,10,results2/mistral_latest_prompt_2_belleza_10gen.txt,10,Belleza
mistral:latest,prompt_2_belleza,6.0,Cremas faciales Neutrogena Ultra Gentle,Belleza - Cuidado Facial,Difícil de encontrar una crema facial más suave y efectiva.,POSITIVO,10,results2/mistral_latest_prompt_2_belleza_10gen.txt,10,Belleza
mistral:latest,prompt_2_belleza,7.0,Gel para rizos Cantu Leave-In,Cuidado Capilar,Ayuda a mantener el pelo de rizos con forma y fácil de aplicar.,POSITIVO,13,results2/mistral_latest_prompt_2_belleza_10gen.txt,10,Belleza
mistral:latest,prompt_2_belleza,8.0,Mascara L'Oréal Paris False Lash Superstar,Belleza - Maquillaje,Casi indistinguible del mascarilla real. Es una buena opción.,POSITIVO,9,results2/mistral_latest_prompt_2_belleza_10gen.txt,10,Belleza
mistral:latest,prompt_2_belleza,9.0,Gel de afeitado Venus Pure Platinum,Cuidado Personal,Muy suave y no irrita la piel. Mejora la tasa de afeitado.,POSITIVO,12,results2/mistral_latest_prompt_2_belleza_10gen.txt,10,Belleza
mistral:latest,prompt_2_belleza,10.0,Saboneta facial Dove Nutri-Moisture,Belleza - Cuidado Facial,Excelente sabor y mejora la humedad de piel seca.,POSITIVO,9,results2/mistral_latest_prompt_2_belleza_10gen.txt,10,Belleza
mistral:latest,prompt_3_hogar,1.0,Cast iron skillet,Cocina,"Durable y versátil, perfecto para cocinar a fuego vivo.",POSITIVO,9,results2/mistral_latest_prompt_3_hogar_10gen.txt,10,Cocina
mistral:latest,prompt_3_hogar,2.0,Knife set,Cocina,"Cuchillos de excelente calidad, cortan muy bien.",POSITIVO,7,results2/mistral_latest_prompt_3_hogar_10gen.txt,10,Cocina
mistral:latest,prompt_3_hogar,3.0,Silicone spatula,Cocina,"Espátula flexible y resistente, fácil de limpiar.",POSITIVO,7,results2/mistral_latest_prompt_3_hogar_10gen.txt,10,Cocina
mistral:latest,prompt_3_hogar,4.0,Non-stick pan,Cocina,La superficie antiadherente funciona muy bien.,POSITIVO,6,results2/mistral_latest_prompt_3_hogar_10gen.txt,10,Cocina
mistral:latest,prompt_3_hogar,5.0,Microplane zester,Cocina,Instrumento preciso y cómodo para raspar en salsas.,POSITIVO,8,results2/mistral_latest_prompt_3_hogar_10gen.txt,10,Cocina
mistral:latest,prompt_3_hogar,6.0,Blender,Cocina,Buen rendimiento en la mezcla de ingredientes.,NEUTRO,7,results2/mistral_latest_prompt_3_hogar_10gen.txt,10,Cocina
mistral:latest,prompt_3_hogar,7.0,Ceramic coffee mug,Cocina,Mucho más tierno al tocar que una taza de porcelana.,POSITIVO,10,results2/mistral_latest_prompt_3_hogar_10gen.txt,10,Cocina
mistral:latest,prompt_3_hogar,8.0,Electric kettle,Cocina,Para preparar café rápido y eficientemente.,POSITIVO,6,results2/mistral_latest_prompt_3_hogar_10gen.txt,10,Cocina
mistral:latest,prompt_3_hogar,9.0,Glass measuring cups,Cocina,Cucharas de medida precisas y resistentes.,POSITIVO,6,results2/mistral_latest_prompt_3_hogar_10gen.txt,10,Cocina
mistral:latest,prompt_3_hogar,10.0,Garlic press,Cocina,Extractor de ajo funciona bien pero es un utensilio extra.,NEUTRO,10,results2/mistral_latest_prompt_3_hogar_10gen.txt,10,Cocina
llama3.2:1b,prompt_1_electronicos,1.0,Samsung Galaxy S23 Ultra,Teléfonos inteligentes,Es una excelente opción para aquellos que buscan un dispositivo con características avanzadas y una pantalla de alta definición. El diseño es elegante y el procesador es muy rápido.,NEGATIVO,29,results2/llama3.2_1b_prompt_1_electronicos_20gen.txt,20,Electrónicos
llama3.2:1b,prompt_1_electronicos,2.0,Dell XPS 13,Lapicillos portátiles,"Es uno de los mejores modelos del año, con una pantalla de alta definición y un procesador rápido. El diseño es elegante y el peso es relativamente ligero.",NEGATIVO,28,results2/llama3.2_1b_prompt_1_electronicos_20gen.txt,20,Electrónicos
llama3.2:1b,prompt_1_electronicos,3.0,Apple MacBook Air,Lapicillos portátiles,Es una excelente opción para aquellos que buscan un dispositivo con características avanzadas y una pantalla de alta definición. El diseño es elegante y el procesador es muy rápido.,NEGATIVO,29,results2/llama3.2_1b_prompt_1_electronicos_20gen.txt,20,Electrónicos
llama3.2:1b,prompt_1_electronicos,4.0,Asus ROG Zephyrus G14,Lapicillos portátiles,"Es uno de los mejores modelos del año, con una pantalla de alta definición y un procesador rápido. El diseño es elegante y el peso es relativamente ligero.",NEGATIVO,28,results2/llama3.2_1b_prompt_1_electronicos_20gen.txt,20,Electrónicos
llama3.2:1b,prompt_1_electronicos,5.0,Lenovo ThinkPad X1 Carbon,Lapicillos portátiles,Es una excelente opción para aquellos que buscan un dispositivo con características avanzadas y una pantalla de alta definición. El diseño es elegante y el procesador es muy rápido.,NEGATIVO,29,results2/llama3.2_1b_prompt_1_electronicos_20gen.txt,20,Electrónicos
llama3.2:1b,prompt_1_electronicos,6.0,HP Envy x360,Lapicillos portátiles,Es una excelente opción para aquellos que buscan un dispositivo con características avanzadas y una pantalla de alta definición. El diseño es elegante y el procesador es muy rápido.,NEGATIVO,29,results2/llama3.2_1b_prompt_1_electronicos_20gen.txt,20,Electrónicos
llama3.2:1b,prompt_1_electronicos,7.0,Microsoft Surface Laptop 4,Lapicillos portátiles,Es una excelente opción para aquellos que buscan un dispositivo con características avanzadas y una pantalla de alta definición. El diseño es elegante y el procesador es muy rápido.,NEGATIVO,29,results2/llama3.2_1b_prompt_1_electronicos_20gen.txt,20,Electrónicos
llama3.2:1b,prompt_1_electronicos,8.0,Apple iMac Pro,Tosines,Es una excelente opción para aquellos que buscan un dispositivo con características avanzadas y una pantalla de alta definición. El diseño es elegante y el procesador es muy rápido.,NEGATIVO,29,results2/llama3.2_1b_prompt_1_electronicos_20gen.txt,20,Electrónicos
llama3.2:1b,prompt_1_electronicos,9.0,Dell Inspiron 15 5000,Lapicillos portátiles,Es una excelente opción para aquellos que buscan un dispositivo con características básicas y una pantalla de alta definición. El diseño es económico y el procesador es muy rápido.,NEGATIVO,29,results2/llama3.2_1b_prompt_1_electronicos_20gen.txt,20,Electrónicos
llama3.2:1b,prompt_1_electronicos,10.0,Lenovo Yoga C940,Tosines,Es una excelente opción para aquellos que buscan un dispositivo con características básicas y una pantalla de alta definición. El diseño es elegante y el procesador es muy rápido.,NEGATIVO,29,results2/llama3.2_1b_prompt_1_electronicos_20gen.txt,20,Electrónicos
llama3.2:1b,prompt_1_electronicos,11.0,HP Pavilion Gaming Desktop,Tosines,Es una excelente opción para aquellos que buscan un dispositivo con características avanzadas y una pantalla de alta definición. El diseño es elegante y el procesador es muy rápido.,NEGATIVO,29,results2/llama3.2_1b_prompt_1_electronicos_20gen.txt,20,Electrónicos
llama3.2:1b,prompt_1_electronicos,12.0,Asus TUF Gaming B550-PLUS,Tosines,Es una excelente opción para aquellos que buscan un dispositivo con características avanzadas y una pantalla de alta definición. El diseño es elegante y el procesador es muy rápido.,NEGATIVO,29,results2/llama3.2_1b_prompt_1_electronicos_20gen.txt,20,Electrónicos
llama3.2:1b,prompt_1_electronicos,13.0,Razer Blade 15,Tosines,Es una excelente opción para aquellos que buscan un dispositivo con características avanzadas y una pantalla de alta definición. El diseño es elegante y el procesador es muy rápido.,NEGATIVO,29,results2/llama3.2_1b_prompt_1_electronicos_20gen.txt,20,Electrónicos
llama3.2:1b,prompt_1_electronicos,14.0,MSI GS65 Stealth,Lapicillos portátiles,Es una excelente opción para aquellos que buscan un dispositivo con características básicas y una pantalla de alta definición. El diseño es económico y el procesador es muy rápido.,NEGATIVO,29,results2/llama3.2_1b_prompt_1_electronicos_20gen.txt,20,Electrónicos
llama3.2:1b,prompt_1_electronicos,15.0,Acer Predator Helios 300,Tosines,Es una excelente opción para aquellos que buscan un dispositivo con características avanzadas y una pantalla de alta definición. El diseño es elegante y el procesador es muy rápido.,NEGATIVO,29,results2/llama3.2_1b_prompt_1_electronicos_20gen.txt,20,Electrónicos
llama3.2:1b,prompt_1_electronicos,16.0,Lenovo IdeaPad L340,Lapicillos portátiles,Es una excelente opción para aquellos que buscan un dispositivo con características básicas y una pantalla de alta definición. El diseño es económico y el procesador es muy rápido.,NEGATIVO,29,results2/llama3.2_1b_prompt_1_electronicos_20gen.txt,20,Electrónicos
llama3.2:1b,prompt_1_electronicos,17.0,HP Pavilion Gaming Desktop,Tosines,Es una excelente opción para aquellos que buscan un dispositivo con características avanzadas y una pantalla de alta definición. El diseño es elegante y el procesador es muy rápido.,NEGATIVO,29,results2/llama3.2_1b_prompt_1_electronicos_20gen.txt,20,Electrónicos
llama3.2:1b,prompt_1_electronicos,18.0,Asus TUF Gaming B550-PLUS,Tosines,Es una excelente opción para aquellos que buscan un dispositivo con características avanzadas y una pantalla de alta definición. El diseño es elegante y el procesador es muy rápido.,NEGATIVO,29,results2/llama3.2_1b_prompt_1_electronicos_20gen.txt,20,Electrónicos
llama3.2:1b,prompt_1_electronicos,19.0,Razer Blade 15,Tosines,Es una excelente opción para aquellos que buscan un dispositivo con características avanzadas y una pantalla de alta definición. El diseño es elegante y el procesador es muy rápido.,NEGATIVO,29,results2/llama3.2_1b_prompt_1_electronicos_20gen.txt,20,Electrónicos
llama3.2:1b,prompt_1_electronicos,20.0,MSI GS65 Stealth,Lapicillos portátiles,Es una excelente opción para aquellos que buscan un dispositivo con características básicas y una pantalla de alta definición. El diseño es económico y el procesador es muy rápido.,NEGATIVO,29,results2/llama3.2_1b_prompt_1_electronicos_20gen.txt,20,Electrónicos
llama3.2:1b,prompt_2_belleza,1.0,Lacrima para ojos alergicos,Cuidado capilar,"Excelente producto, hace que mis ojos se sientan suaves y brillantes después de un día largo. La aplicación no me irritó ni me causo daño.",NEGATIVO,25,results2/llama3.2_1b_prompt_2_belleza_20gen.txt,20,Belleza
llama3.2:1b,prompt_2_belleza,2.0,Shampoo para cabello saludable,Cuidado facial,"Me encanta este shampoo, no me molesta ni me da problemas de cabello. Es muy suave y rico en nutrientes.",NEGATIVO,20,results2/llama3.2_1b_prompt_2_belleza_20gen.txt,20,Belleza
llama3.2:1b,prompt_2_belleza,3.0,Creme hidratante para la piel,Cuidado capilar,"Me ha ayudado mucho a mantener mi piel hidratada y suave, sin que se enveice ni se seque.",POSITIVO,18,results2/llama3.2_1b_prompt_2_belleza_20gen.txt,20,Belleza
llama3.2:1b,prompt_2_belleza,4.0,Lacrima para ojos secos,Cuidado capilar,"Me ha ayudado a tratar la fatiga en los ojos, siempre que mi piel esté seca.",NEGATIVO,16,results2/llama3.2_1b_prompt_2_belleza_20gen.txt,20,Belleza
llama3.2:1b,prompt_2_belleza,5.0,Shampoo para cabello con elanol,Cuidado facial,"Me gusta que es libre de alcohol, hace que mi piel se sienta relajada y no esté irritada.",NEUTRO,18,results2/llama3.2_1b_prompt_2_belleza_20gen.txt,20,Belleza
llama3.2:1b,prompt_2_belleza,6.0,Creme crema para el cabello,Cuidado capilar,"Me ha ayudado a mantener mi pelo saludable y brillante, sin que se caiga o se pierda.",NEGATIVO,17,results2/llama3.2_1b_prompt_2_belleza_20gen.txt,20,Belleza
llama3.2:1b,prompt_2_belleza,7.0,Lacrima para la cara alerjica,Cuidado facial,Me ha ayudado a reducir la inflamación y el dolor en mi cara después de una reacción alérgica.,NEUTRO,18,results2/llama3.2_1b_prompt_2_belleza_20gen.txt,20,Belleza
llama3.2:1b,prompt_2_belleza,8.0,Shampoo para cabello con protección,Cuidado capilar,"Me gusta que es rico en antioxidantes y tiene un sabor suave, no me molesta ni me causa problemas.",NEGATIVO,19,results2/llama3.2_1b_prompt_2_belleza_20gen.txt,20,Belleza
llama3.2:1b,prompt_2_belleza,9.0,Creme hidratante para la piel,Cuidado capilar,"Me ha ayudado a mantener mi piel hidratada y suave, sin que se enveice ni se seque.",NEUTRO,17,results2/llama3.2_1b_prompt_2_belleza_20gen.txt,20,Belleza
llama3.2:1b,prompt_2_belleza,10.0,Lacrima para ojos alergicos,Cuidado capilar,Me ha ayudado a reducir la inflamación y el dolor en mis ojos después de una reacción alérgica.,NEUTRO,18,results2/llama3.2_1b_prompt_2_belleza_20gen.txt,20,Belleza
llama3.2:1b,prompt_2_belleza,11.0,Shampoo para cabello con ingredientes naturales,Cuidado capilar,Me gusta que es natural y no me causa problemas de salud. Me hace sentir relajada y en paz.,NEGATIVO,19,results2/llama3.2_1b_prompt_2_belleza_20gen.txt,20,Belleza
llama3.2:1b,prompt_2_belleza,12.0,Creme hidratante para la piel,Cuidado capilar,"Me ha ayudado a mantener mi piel hidratada y suave, sin que se enveice ni se seque.",NEUTRO,17,results2/llama3.2_1b_prompt_2_belleza_20gen.txt,20,Belleza
llama3.2:1b,prompt_2_belleza,13.0,Lacrima para ojos alergicos,Cuidado capilar,Me ha ayudado a reducir la inflamación y el dolor en mis ojos después de una reacción alérgica.,NEUTRO,18,results2/llama3.2_1b_prompt_2_belleza_20gen.txt,20,Belleza
llama3.2:1b,prompt_2_belleza,14.0,Shampoo para cabello con elanol,Cuidado capilar,"Me gusta que es libre de alcohol, hace que mi piel se sienta relajada y no esté irritada.",NEUTRO,18,results2/llama3.2_1b_prompt_2_belleza_20gen.txt,20,Belleza
llama3.2:1b,prompt_2_belleza,15.0,Creme hidratante para la piel,Cuidado capilar,"Me ha ayudado a mantener mi piel hidratada y suave, sin que se enveice ni se seque.",NEUTRO,17,results2/llama3.2_1b_prompt_2_belleza_20gen.txt,20,Belleza
llama3.2:1b,prompt_2_belleza,16.0,Lacrima para ojos alergicos,Cuidado capilar,Me ha ayudado a reducir la inflamación y el dolor en mis ojos después de una reacción alérgica.,NEUTRO,18,results2/llama3.2_1b_prompt_2_belleza_20gen.txt,20,Belleza
llama3.2:1b,prompt_2_belleza,17.0,Shampoo para cabello con ingredientes naturales,Cuidado capilar,Me gusta que es natural y no me causa problemas de salud. Me hace sentir relajada y en paz.,NEGATIVO,19,results2/llama3.2_1b_prompt_2_belleza_20gen.txt,20,Belleza
llama3.2:1b,prompt_2_belleza,18.0,Creme hidratante para la piel,Cuidado capilar,"Me ha ayudado a mantener mi piel hidratada y suave, sin que se enveice ni se seque.",NEUTRO,17,results2/llama3.2_1b_prompt_2_belleza_20gen.txt,20,Belleza
llama3.2:1b,prompt_2_belleza,19.0,Lacrima para ojos alergicos,Cuidado capilar,Me ha ayudado a reducir la inflamación y el dolor en mis ojos después de una reacción alérgica.,NEUTRO,18,results2/llama3.2_1b_prompt_2_belleza_20gen.txt,20,Belleza
llama3.2:1b,prompt_2_belleza,20.0,Shampoo para cabello con ingredientes naturales,Cuidado capilar,Me gusta que es natural y no me causa problemas de salud. Me hace sentir relajada y en paz.,NEGATIVO,19,results2/llama3.2_1b_prompt_2_belleza_20gen.txt,20,Belleza
phi3:mini,prompt_1_electronicos,1.0,iPhone 13,teléfonos móviles,Excelente cámara de alta calidad y durabilidad.,POSITIVO,7,results2/phi3_mini_prompt_1_electronicos_20gen.txt,20,Electrónicos
phi3:mini,prompt_1_electronicos,2.0,Samsung Galaxy S21,teléfonos móviles,"Rápido, inteligente con la ultimoprotección.",NEUTRO,5,results2/phi3_mini_prompt_1_electronicos_20gen.txt,20,Electrónicos
phi3:mini,prompt_1_electronicos,3.0,Headphones Bose QuietComfort 45,audífonos y auriculares,Excelentes sonidos en todo rango de frecuencia; muy cómoda.,POSITIVO,9,results2/phi3_mini_prompt_1_electronicos_20gen.txt,20,Electrónicos
phi3:mini,prompt_1_electronicos,4.0,HP Pavilion Laptop 15,computadoras portátiles,"Buena resolución y durabilidad, pero se calienta rápidamente.",NEUTRO,8,results2/phi3_mini_prompt_1_electronicos_20gen.txt,20,Electrónicos
