cantidad_solicitada,n_solicitado,modelo,prompt_id,prompt_corto,id,producto,categoria,resena,sentimiento,largo_palabras,archivo_origen,metodo_extraccion
10,10,llama3.2:1b,prompt_2_belleza,Belleza,1,Luz de barba sintética,Higiene personal y cuidado del cabello,Me encanta porque hace que mi barba sea más brillante y saludable.,NEGATIVO,12,results\llama3.2_1b_prompt_2_belleza_10gen.txt,json_completo
10,10,llama3.2:1b,prompt_2_belleza,Belleza,2,Cera para el cuerpo suave,Higiene corporal y cuidado personal,Me gusta porque es perfecta para mi piel y me hace sentir relajada.,NEUTRO,13,results\llama3.2_1b_prompt_2_belleza_10gen.txt,json_completo
10,10,llama3.2:1b,prompt_2_belleza,Belleza,3,Lavanda aromaterapéutica,Descanso y relajación,Me encanta porque ayuda a reducir el estrés y mejorar la calidad del sueño.,NEGATIVO,14,results\llama3.2_1b_prompt_2_belleza_10gen.txt,json_completo
10,10,llama3.2:1b,prompt_2_belleza,Belleza,4,Bálsamo facial hidratante,Cuidado personal facial,Me gusta porque es perfecto para mi piel y me hace sentir con la brasa.,NEGATIVO,15,results\llama3.2_1b_prompt_2_belleza_10gen.txt,json_completo
10,10,llama3.2:1b,prompt_2_belleza,Belleza,5,Lavas de baño naturales,Higiene personal y cuidado del cuerpo,"Me encanta porque es natural y fresca, y me hace sentir relajada.",NEGATIVO,12,results\llama3.2_1b_prompt_2_belleza_10gen.txt,json_completo
10,10,llama3.2:1b,prompt_2_belleza,Belleza,6,Canelazo para el pelo,Cuidado personal del cabello,Me gusta porque es rico en antioxidantes y me hace sentir más saludable.,NEUTRO,13,results\llama3.2_1b_prompt_2_belleza_10gen.txt,json_completo
10,10,llama3.2:1b,prompt_2_belleza,Belleza,7,Luz de barba crema,Higiene personal y cuidado del cabello,"Me encanta porque hace que mi barba sea más brillante y saludable, y es muy fácil de aplicar.",NEGATIVO,18,results\llama3.2_1b_prompt_2_belleza_10gen.txt,json_completo
10,10,llama3.2:1b,prompt_2_belleza,Belleza,8,Cera para el cuerpo con aceite de argan,Higiene corporal y cuidado personal,"Me gusta porque es perfecta para mi piel y me hace sentir relajada, y tiene propiedades antioxidantes.",NEUTRO,17,results\llama3.2_1b_prompt_2_belleza_10gen.txt,json_completo
10,10,llama3.2:1b,prompt_2_belleza,Belleza,9,Lavanda aromaterapéutica con aceite de bergamota,Descanso y relajación,"Me encanta porque ayuda a reducir el estrés y mejorar la calidad del sueño, y tiene propiedades antiinflamatorias.",NEGATIVO,18,results\llama3.2_1b_prompt_2_belleza_10gen.txt,json_completo
10,10,llama3.2:1b,prompt_2_belleza,Belleza,10,Bálsamo facial hidratante con hierba chamomila,Cuidado personal facial,"Me gusta porque es perfecto para mi piel y me hace sentir con la brasa, y tiene propiedades antioxidantes.",NEGATIVO,19,results\llama3.2_1b_prompt_2_belleza_10gen.txt,json_completo
50,50,llama3.2:1b,prompt_2_belleza,Belleza,1,Bioterapia Facial by Dermatologist,Facial y Cabello,"El producto es increíble, me ayudó a rejuvenecer mi piel y mi cabello. El servicio de atención personal fue excelente.",NEGATIVO,20,results\llama3.2_1b_prompt_2_belleza_50gen.txt,json_completo
50,50,llama3.2:1b,prompt_2_belleza,Belleza,2,Shampur Clarifiant by L'Oréal,Pelos y Cabello,"Me encantó el producto, fue fácil de aplicar y me dio un buen resultado. El precio es razonable.",NEUTRO,18,results\llama3.2_1b_prompt_2_belleza_50gen.txt,json_completo
50,50,llama3.2:1b,prompt_2_belleza,Belleza,3,Cera Cremosa by Estee Lauder,Facial y Cabello,"Me sentí como una reina después de usar este producto, mi piel se sintió suave y el cabello era brillante. El servicio fue excelente.",POSITIVO,24,results\llama3.2_1b_prompt_2_belleza_50gen.txt,json_completo
50,50,llama3.2:1b,prompt_2_belleza,Belleza,4,Pulido con L'Oréal Paris,Pelos y Cabello,"Me gustó el producto, fue fácil de aplicar y me dio un buen resultado. Sin embargo, no tengo piel muy suave.",NEUTRO,21,results\llama3.2_1b_prompt_2_belleza_50gen.txt,json_completo
50,50,llama3.2:1b,prompt_2_belleza,Belleza,5,Rinse con L'Oréal Paris,Pelos y Cabello,"Me encantó el producto, fue fácil de aplicar y me dio un buen resultado. El precio es razonable.",NEUTRO,18,results\llama3.2_1b_prompt_2_belleza_50gen.txt,json_completo
50,50,llama3.2:1b,prompt_2_belleza,Belleza,6,Cremas para la piel por la Dosis,Facial y Cabello,"Me sentí como una reina después de usar este producto, mi piel se sintió suave y el cabello era brillante. El servicio fue excelente.",POSITIVO,24,results\llama3.2_1b_prompt_2_belleza_50gen.txt,json_completo
50,50,llama3.2:1b,prompt_2_belleza,Belleza,7,Pólvora por la Dosis,Facial y Cabello,"Me gustó el producto, fue fácil de aplicar y me dio un buen resultado. Sin embargo, no tengo piel muy suave.",NEUTRO,21,results\llama3.2_1b_prompt_2_belleza_50gen.txt,json_completo
50,50,llama3.2:1b,prompt_2_belleza,Belleza,8,Cera por la Dosis,Facial y Cabello,"Me sentí como una reina después de usar este producto, mi piel se sintió suave y el cabello era brillante. El servicio fue excelente.",POSITIVO,24,results\llama3.2_1b_prompt_2_belleza_50gen.txt,json_completo
50,50,llama3.2:1b,prompt_2_belleza,Belleza,9,Cremas para la piel por la Dosis,Facial y Cabello,"Me sentí como una reina después de usar este producto, mi piel se sintió suave y el cabello era brillante. El servicio fue excelente.",POSITIVO,24,results\llama3.2_1b_prompt_2_belleza_50gen.txt,json_completo
50,50,llama3.2:1b,prompt_2_belleza,Belleza,10,Pulido con L'Oréal Paris,Pelos y Cabello,"Me gustó el producto, fue fácil de aplicar y me dio un buen resultado. Sin embargo, no tengo piel muy suave.",NEUTRO,21,results\llama3.2_1b_prompt_2_belleza_50gen.txt,json_completo
50,50,llama3.2:1b,prompt_2_belleza,Belleza,11,Rinse con L'Oréal Paris,Pelos y Cabello,"Me encantó el producto, fue fácil de aplicar y me dio un buen resultado. El precio es razonable.",NEUTRO,18,results\llama3.2_1b_prompt_2_belleza_50gen.txt,json_completo
50,50,llama3.2:1b,prompt_2_belleza,Belleza,12,Cremas para la piel por la Dosis,Facial y Cabello,"Me sentí como una reina después de usar este producto, mi piel se sintió suave y el cabello era brillante. El servicio fue excelente.",POSITIVO,24,results\llama3.2_1b_prompt_2_belleza_50gen.txt,json_completo
50,50,llama3.2:1b,prompt_2_belleza,Belleza,13,Pólvora por la Dosis,Facial y Cabello,"Me gustó el producto, fue fácil de aplicar y me dio un buen resultado. Sin embargo, no tengo piel muy suave.",NEUTRO,21,results\llama3.2_1b_prompt_2_belleza_50gen.txt,json_completo
50,50,llama3.2:1b,prompt_2_belleza,Belleza,14,Cera por la Dosis,Facial y Cabello,"Me sentí como una reina después de usar este producto, mi piel se sintió suave y el cabello era brillante. El servicio fue excelente.",POSITIVO,24,results\llama3.2_1b_prompt_2_belleza_50gen.txt,json_completo
50,50,llama3.2:1b,prompt_2_belleza,Belleza,15,Cremas para la piel por la Dosis,Facial y Cabello,"Me sentí como una reina después de usar este producto, mi piel se sintió suave y el cabello era brillante. El servicio fue excelente.",POSITIVO,24,results\llama3.2_1b_prompt_2_belleza_50gen.txt,json_completo
50,50,llama3.2:1b,prompt_2_belleza,Belleza,16,Pulido con L'Oréal Paris,Pelos y Cabello,"Me gustó el producto, fue fácil de aplicar y me dio un buen resultado. Sin embargo, no tengo piel muy suave.",NEUTRO,21,results\llama3.2_1b_prompt_2_belleza_50gen.txt,json_completo
50,50,llama3.2:1b,prompt_2_belleza,Belleza,17,Rinse con L'Oréal Paris,Pelos y Cabello,"Me encantó el producto, fue fácil de aplicar y me dio un buen resultado. El precio es razonable.",NEUTRO,18,results\llama3.2_1b_prompt_2_belleza_50gen.txt,json_completo
50,50,llama3.2:1b,prompt_2_belleza,Belleza,18,Cremas para la piel por la Dosis,Facial y Cabello,"Me sentí como una reina después de usar este producto, mi piel se sintió suave y el cabello era brillante. El servicio fue excelente.",POSITIVO,24,results\llama3.2_1b_prompt_2_belleza_50gen.txt,json_completo
50,50,llama3.2:1b,prompt_2_belleza,Belleza,19,Pólvora por la Dosis,Facial y Cabello,"Me gustó el producto, fue fácil de aplicar y me dio un buen resultado. Sin embargo, no tengo piel muy suave.",NEUTRO,21,results\llama3.2_1b_prompt_2_belleza_50gen.txt,json_completo
50,50,llama3.2:1b,prompt_2_belleza,Belleza,20,Cera por la Dosis,Facial y Cabello,"Me sentí como una reina después de usar este producto, mi piel se sintió suave y el cabello era brillante. El servicio fue excelente.",POSITIVO,24,results\llama3.2_1b_prompt_2_belleza_50gen.txt,json_completo
50,50,llama3.2:1b,prompt_2_belleza,Belleza,21,Cremas para la piel por la Dosis,Facial y Cabello,"Me sentí como una reina después de usar este producto, mi piel se sintió suave y el cabello era brillante. El servicio fue excelente.",POSITIVO,24,results\llama3.2_1b_prompt_2_belleza_50gen.txt,json_completo
50,50,llama3.2:1b,prompt_2_belleza,Belleza,22,Pulido con L'Oréal Paris,Pelos y Cabello,"Me gustó el producto, fue fácil de aplicar y me dio un buen resultado. Sin embargo, no tengo piel muy suave.",NEUTRO,21,results\llama3.2_1b_prompt_2_belleza_50gen.txt,json_completo
50,50,llama3.2:1b,prompt_2_belleza,Belleza,23,Rinse con L'Oréal Paris,Pelos y Cabello,"Me encantó el producto, fue fácil de aplicar y me dio un buen resultado. El precio es razonable.",NEUTRO,18,results\llama3.2_1b_prompt_2_belleza_50gen.txt,json_completo
50,50,llama3.2:1b,prompt_2_belleza,Belleza,24,Cremas para la piel por la Dosis,Facial y Cabello,"Me sentí como una reina después de usar este producto, mi piel se sintió suave y el cabello era brillante. El servicio fue excelente.",POSITIVO,24,results\llama3.2_1b_prompt_2_belleza_50gen.txt,json_completo
50,50,llama3.2:1b,prompt_2_belleza,Belleza,25,Pólvora por la Dosis,Facial y Cabello,"Me gustó el producto, fue fácil de aplicar y me dio un buen resultado. Sin embargo, no tengo piel muy suave.",NEUTRO,21,results\llama3.2_1b_prompt_2_belleza_50gen.txt,json_completo
50,50,llama3.2:1b,prompt_2_belleza,Belleza,26,Cera por la Dosis,Facial y Cabello,"Me sentí como una reina después de usar este producto, mi piel se sintió suave y el cabello era brillante. El servicio fue excelente.",POSITIVO,24,results\llama3.2_1b_prompt_2_belleza_50gen.txt,json_completo
50,50,llama3.2:1b,prompt_2_belleza,Belleza,27,Cremas para la piel por la Dosis,Facial y Cabello,"Me sentí como una reina después de usar este producto, mi piel se sintió suave y el cabello era brillante. El servicio fue excelente.",POSITIVO,24,results\llama3.2_1b_prompt_2_belleza_50gen.txt,json_completo
50,50,llama3.2:1b,prompt_2_belleza,Belleza,28,Pulido con L'Oréal Paris,Pelos y Cabello,"Me gustó el producto, fue fácil de aplicar y me dio un buen resultado. Sin embargo, no tengo piel muy suave.",NEUTRO,21,results\llama3.2_1b_prompt_2_belleza_50gen.txt,json_completo
50,50,llama3.2:1b,prompt_2_belleza,Belleza,29,Rinse con L'Oréal Paris,Pelos y Cabello,"Me encantó el producto, fue fácil de aplicar y me dio un buen resultado. El precio es razonable.",NEUTRO,18,results\llama3.2_1b_prompt_2_belleza_50gen.txt,json_completo
50,50,llama3.2:1b,prompt_2_belleza,Belleza,30,Cremas para la piel por la Dosis,Facial y Cabello,"Me sentí como una reina después de usar este producto, mi piel se sintió suave y el cabello era brillante. El servicio fue excelente.",POSITIVO,24,results\llama3.2_1b_prompt_2_belleza_50gen.txt,json_completo
50,50,llama3.2:1b,prompt_2_belleza,Belleza,31,Pólvora por la Dosis,Facial y Cabello,"Me gustó el producto, fue fácil de aplicar y me dio un buen resultado. Sin embargo, no tengo piel muy suave.",NEUTRO,21,results\llama3.2_1b_prompt_2_belleza_50gen.txt,json_completo
50,50,llama3.2:1b,prompt_2_belleza,Belleza,32,Cera por la Dosis,Facial y Cabello,"Me sentí como una reina después de usar este producto, mi piel se sintió suave y el cabello era brillante. El servicio fue excelente.",POSITIVO,24,results\llama3.2_1b_prompt_2_belleza_50gen.txt,json_completo
50,50,llama3.2:1b,prompt_2_belleza,Belleza,33,Cremas para la piel por la Dosis,Facial y Cabello,"Me sentí como una reina después de usar este producto, mi piel se sintió suave y el cabello era brillante. El servicio fue excelente.",POSITIVO,24,results\llama3.2_1b_prompt_2_belleza_50gen.txt,json_completo
50,50,llama3.2:1b,prompt_2_belleza,Belleza,34,Pulido con L'Oréal Paris,Pelos y Cabello,"Me gustó el producto, fue fácil de aplicar y me dio un buen resultado. Sin embargo, no tengo piel muy suave.",NEUTRO,21,results\llama3.2_1b_prompt_2_belleza_50gen.txt,json_completo
50,50,llama3.2:1b,prompt_2_belleza,Belleza,35,Rinse con L'Oréal Paris,Pelos y Cabello,"Me encantó el producto, fue fácil de aplicar y me dio un buen resultado. El precio es razonable.",NEUTRO,18,results\llama3.2_1b_prompt_2_belleza_50gen.txt,json_completo
50,50,llama3.2:1b,prompt_2_belleza,Belleza,36,Cremas para la piel por la Dosis,Facial y Cabello,"Me sentí como una reina después de usar este producto, mi piel se sintió suave y el cabello era brillante. El servicio fue excelente.",POSITIVO,24,results\llama3.2_1b_prompt_2_belleza_50gen.txt,json_completo
50,50,llama3.2:1b,prompt_2_belleza,Belleza,37,Pólvora por la Dosis,Facial y Cabello,"Me gustó el producto, fue fácil de aplicar y me dio un buen resultado. Sin embargo, no tengo piel muy suave.",NEUTRO,21,results\llama3.2_1b_prompt_2_belleza_50gen.txt,json_completo
50,50,llama3.2:1b,prompt_2_belleza,Belleza,38,Cera por la Dosis,Facial y Cabello,"Me sentí como una reina después de usar este producto, mi piel se sintió suave y el cabello era brillante. El servicio fue excelente.",POSITIVO,24,results\llama3.2_1b_prompt_2_belleza_50gen.txt,json_completo
50,50,llama3.2:1b,prompt_2_belleza,Belleza,39,Cremas para la piel por la Dosis,Facial y Cabello,"Me sentí como una reina después de usar este producto, mi piel se sintió suave y el cabello era brillante. El servicio fue excelente.",POSITIVO,24,results\llama3.2_1b_prompt_2_belleza_50gen.txt,json_completo
50,50,llama3.2:1b,prompt_2_belleza,Belleza,40,Pulido con L'Oréal Paris,Pelos y Cabello,"Me gustó el producto, fue fácil de aplicar y me dio un buen resultado. Sin embargo, no tengo piel muy suave.",NEUTRO,21,results\llama3.2_1b_prompt_2_belleza_50gen.txt,json_completo
50,50,llama3.2:1b,prompt_2_belleza,Belleza,41,Rinse con L'Oréal Paris,Pelos y Cabello,"Me encantó el producto, fue fácil de aplicar y me dio un buen resultado. El precio es razonable.",NEUTRO,18,results\llama3.2_1b_prompt_2_belleza_50gen.txt,json_completo
50,50,llama3.2:1b,prompt_2_belleza,Belleza,42,Cremas para la piel por la Dosis,Facial y Cabello,"Me sentí como una reina después de usar este producto, mi piel se sintió suave y el cabello era brillante. El servicio fue excelente.",POSITIVO,24,results\llama3.2_1b_prompt_2_belleza_50gen.txt,json_completo
50,50,llama3.2:1b,prompt_2_belleza,Belleza,43,Pólvora por la Dosis,Facial y Cabello,"Me gustó el producto, fue fácil de aplicar y me dio un buen resultado. Sin embargo, no tengo piel muy suave.",NEUTRO,21,results\llama3.2_1b_prompt_2_belleza_50gen.txt,json_completo
50,50,llama3.2:1b,prompt_2_belleza,Belleza,44,Cera por la Dosis,Facial y Cabello,"Me sentí como una reina después de usar este producto, mi piel se sintió suave y el cabello era brillante. El servicio fue excelente.",POSITIVO,24,results\llama3.2_1b_prompt_2_belleza_50gen.txt,json_completo
50,50,llama3.2:1b,prompt_2_belleza,Belleza,45,Cremas para la piel por la Dosis,Facial y Cabello,"Me sentí como una reina después de usar este producto, mi piel se sintió suave y el cabello era brillante. El servicio fue excelente.",POSITIVO,24,results\llama3.2_1b_prompt_2_belleza_50gen.txt,json_completo
10,10,llama3.2:1b,prompt_3_hogar,Hogar,1,Tortilla de patatas,Comida,"Una tortilla excelente, perfecta para un desayuno ligero y sabroso.",NEUTRO,10,results\llama3.2_1b_prompt_3_hogar_10gen.txt,json_reparado_por_objetos
10,10,llama3.2:1b,prompt_3_hogar,Hogar,2,Herramientas de cocina,Hogar,"Esto es increíble, las herramientas son muy duraderas y fáciles de limpiar.",NEUTRO,12,results\llama3.2_1b_prompt_3_hogar_10gen.txt,json_reparado_por_objetos
10,10,llama3.2:1b,prompt_3_hogar,Hogar,3,Olla a presión,Comida,"Me encanta esta olla, es perfecta para cocinar rápido y con poco esfuerzo.",NEUTRO,13,results\llama3.2_1b_prompt_3_hogar_10gen.txt,json_reparado_por_objetos
